product_id,sku,name,category,subcategory,current_price,currency,is_discontinued,introduced_dt,discontinued_dt
1,SKU-B74X2E,Apparel Womens Item 1,Apparel,Womens,228.0993,AUD,false,2021-02-05,
2,SKU-W6AHF7,Beauty Hair Item 2,Beauty,Hair,73.8730,AUD,false,2022-08-18,
3,SKU-BP2QD6,Beauty Hair Item 3,Beauty,Hair,144.4617,AUD,false,2024-11-28,
4,SKU-KAMUGY,Beauty Makeup Item 4,Beauty,Makeup,136.8442,AUD,false,2024-08-15,
5,SKU-SA5BNN,Electronics Audio Item 5,Electronics,Audio,1274.1011,AUD,true,2020-07-31,2022-07-03
6,SKU-0LBT3G,Sports Team Item 6,Sports,Team,406.8224,AUD,false,2022-04-26,
7,SKU-1QKBHB,Apparel Kids Item 7,Apparel,Kids,164.6510,AUD,false,2022-10-08,
8,SKU-1GM25L,Electronics Audio Item 8,Electronics,Audio,,USD,false,2022-07-21,
9,SKU-9RR7S2,Sports Outdoor Item 9,Sports,Outdoor,412.1249,AUD,false,2022-08-03,
10,SKU-LCXLVP,Sports Fitness Item 10,Sports,Fitness,310.6624,AUD,true,2022-06-30,2023-07-26
11,SKU-X2CYOS,Home Kitchen Item 11,Home,Kitchen,544.6902,AUD,false,2024-03-14,
12,SKU-EIXN8B,Home Decor Item 12,Home,Decor,302.8906,AUD,false,2022-06-24,
13,SKU-UTOXIE,Home Furniture Item 13,Home,Furniture,452.7214,AUD,false,2022-02-05,
14,SKU-JQ9K6R,Electronics Laptops Item 14,Electronics,Laptops,1440.0713,EUR,true,2020-03-21,
15,SKU-389YZT,Apparel Womens Item 15,Apparel,Womens,213.6118,AUD,false,2020-03-24,
16,SKU-GNI92I,Sports Outdoor Item 16,Sports,Outdoor,190.3976,USD,false,2022-12-23,
17,SKU-TWDL9Z,Beauty Makeup Item 17,Beauty,Makeup,144.4255,AUD,false,2020-09-08,
18,SKU-LCQSE3,Beauty Hair Item 18,Beauty,Hair,240.7011,AUD,false,2021-09-15,
19,SKU-6BEFFL,Home Furniture Item 19,Home,Furniture,677.2876,AUD,false,2022-02-03,
20,SKU-WTEKTS,Home Decor Item 20,Home,Decor,529.3990,AUD,false,2021-09-29,
21,SKU-V4U3BB,Beauty Makeup Item 21,Beauty,Makeup,143.7458,AUD,false,2021-05-08,
22,SKU-B6TXKI,Sports Fitness Item 22,Sports,Fitness,224.9671,AUD,true,2022-06-17,
23,SKU-HVLZ04,Sports Outdoor Item 23,Sports,Outdoor,284.6474,AUD,false,2020-09-26,
24,SKU-QJIDKN,Beauty Makeup Item 24,Beauty,Makeup,224.9685,USD,false,2023-08-11,
25,SKU-7ZGF9Q,Apparel Womens Item 25,Apparel,Womens,75.7742,AUD,true,2024-11-14,2024-12-01
